EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.984,-11.404,-15.253,-12.065,-6.293,-17.387,-5.160,-0.028,-0.031,0.963,-0.329,0.397,-1.129,-0.763,93.333,38240.000,1.000
-3.708,-10.598,-14.506,-13.251,-6.117,-17.189,-4.926,-1.224,-0.032,0.964,-0.329,0.305,-1.038,-0.763,93.333,38241.000,1.000
-6.960,-10.899,-15.142,-15.639,-6.419,-19.155,-6.277,-2.576,-0.031,0.964,-0.329,0.275,-1.068,-0.763,93.333,38242.000,1.000
-8.609,-9.411,-14.885,-15.966,-5.002,-18.782,-6.166,-1.231,-0.032,0.960,-0.328,0.336,-1.129,-0.763,93.333,38243.000,1.000
-8.009,-5.401,-12.382,-13.011,-1.661,-14.585,-3.639,2.577,-0.032,0.958,-0.333,0.214,-1.007,-0.824,93.333,38244.000,1.000
-8.232,-1.858,-9.023,-9.017,1.404,-10.003,-0.896,6.289,-0.031,0.957,-0.333,0.336,-0.977,-0.916,93.333,38245.000,1.000
-8.659,-0.005,-5.876,-5.527,3.856,-7.241,0.965,9.350,-0.031,0.957,-0.334,0.519,-0.824,-0.977,93.333,38246.000,1.000
-7.685,1.091,-3.534,-3.156,6.016,-5.619,2.304,11.688,-0.031,0.959,-0.331,0.732,-0.885,-1.038,93.333,38247.000,1.000
-6.829,1.623,-2.729,-2.661,6.841,-4.216,3.252,12.039,-0.029,0.961,-0.326,0.946,-0.885,-1.038,93.333,38248.000,1.000
-8.184,0.928,-3.990,-4.508,5.504,-3.479,2.966,9.772,-0.030,0.963,-0.330,0.885,-0.793,-1.099,93.333,38249.000,1.000
-12.170,-1.517,-7.954,-8.862,2.297,-4.480,0.317,5.352,-0.031,0.964,-0.329,0.885,-0.854,-1.007,93.333,38250.000,1.000
-17.589,-4.731,-13.437,-13.939,-1.113,-6.378,-3.484,0.054,-0.032,0.964,-0.328,0.702,-0.824,-0.977,93.333,38251.000,1.000
-20.091,-5.693,-15.645,-15.165,-1.709,-6.214,-4.707,-3.176,-0.030,0.962,-0.329,0.580,-0.793,-0.977,93.333,38252.000,1.000
-15.822,-3.772,-12.482,-11.187,0.777,-3.883,-2.399,-2.459,-0.032,0.963,-0.330,0.610,-0.671,-0.977,93.333,38253.000,1.000
-9.372,-3.913,-9.767,-7.795,1.416,-4.336,-0.791,-0.473,-0.030,0.963,-0.332,0.641,-0.610,-1.038,93.333,38254.000,1.000
-8.684,-8.879,-11.998,-9.050,-2.405,-9.969,-2.647,-0.076,-0.030,0.963,-0.330,0.610,-0.549,-1.160,93.333,38255.000,1.000
-11.843,-12.646,-13.876,-9.857,-5.127,-15.015,-4.223,1.221,-0.031,0.965,-0.331,0.641,-0.458,-1.190,93.333,38256.000,1.000
-11.274,-10.406,-10.429,-5.698,-2.293,-14.474,-1.978,6.095,-0.031,0.965,-0.331,0.488,-0.488,-1.160,93.333,38257.000,1.000
-8.851,-7.868,-7.403,-2.357,0.545,-12.997,-0.001,10.105,-0.031,0.966,-0.330,0.366,-0.397,-1.068,93.333,38258.000,1.000
-12.402,-11.035,-11.500,-6.710,-3.315,-16.678,-4.060,7.138,-0.031,0.966,-0.330,0.275,-0.305,-1.099,93.333,38259.000,1.000
-20.819,-16.138,-19.115,-15.555,-10.940,-22.700,-12.140,-0.912,-0.031,0.966,-0.331,0.183,-0.244,-1.038,93.333,38260.000,1.000
-25.272,-16.992,-22.801,-20.754,-14.647,-24.196,-16.798,-6.273,-0.031,0.967,-0.328,0.122,-0.122,-1.099,93.333,38261.000,1.000
-22.228,-13.818,-21.346,-19.918,-12.240,-19.858,-14.765,-5.371,-0.033,0.966,-0.330,0.061,-0.031,-1.099,93.333,38262.000,1.000
-16.999,-10.494,-18.650,-17.204,-7.777,-14.015,-9.788,-2.011,-0.031,0.963,-0.330,-0.153,-0.061,-1.068,93.333,38263.000,1.000
-14.929,-8.836,-17.296,-16.073,-4.899,-10.346,-6.136,-0.616,-0.032,0.962,-0.330,-0.153,-0.061,-1.160,93.333,38264.000,1.000
-15.747,-8.552,-16.929,-15.994,-3.601,-9.160,-4.274,-1.224,-0.032,0.959,-0.327,-0.214,0.061,-1.160,93.333,38265.000,1.000
-16.939,-8.666,-16.378,-15.168,-2.323,-8.770,-2.982,-1.311,-0.031,0.959,-0.332,-0.214,0.092,-1.190,93.333,38266.000,1.000
-17.224,-8.090,-15.131,-13.301,-0.633,-7.984,-1.963,0.334,-0.033,0.958,-0.330,-0.092,0.122,-1.282,93.333,38267.000,1.000
-17.436,-7.768,-14.398,-12.236,-0.295,-8.379,-2.517,1.689,-0.034,0.958,-0.330,-0.092,0.122,-1.373,93.333,38268.000,1.000
-18.101,-9.331,-15.328,-13.003,-2.364,-11.247,-4.872,1.446,-0.034,0.958,-0.333,0.000,0.183,-1.373,93.333,38269.000,1.000
-17.830,-11.891,-17.137,-14.211,-5.138,-14.265,-6.937,1.495,-0.034,0.959,-0.331,0.031,0.183,-1.434,93.333,38270.000,1.000
-17.907,-14.164,-19.251,-15.128,-7.429,-15.751,-7.977,2.434,-0.036,0.960,-0.332,-0.092,0.153,-1.404,93.333,38271.000,1.000
-20.649,-15.863,-20.951,-15.474,-8.938,-16.677,-8.519,3.490,-0.037,0.961,-0.330,-0.122,0.153,-1.312,93.333,38272.000,1.000
-22.734,-15.887,-19.975,-13.532,-8.008,-16.756,-7.540,5.858,-0.037,0.961,-0.330,-0.153,0.031,-1.434,93.333,38273.000,1.000
-20.605,-13.944,-16.135,-9.524,-4.624,-15.120,-4.835,9.720,-0.035,0.962,-0.332,-0.153,-0.092,-1.404,93.333,38274.000,1.000
-17.067,-11.984,-12.439,-6.697,-2.009,-13.511,-2.689,12.296,-0.038,0.962,-0.330,-0.153,0.000,-1.404,93.333,38275.000,1.000
-14.898,-11.070,-10.495,-6.206,-1.627,-13.728,-2.280,12.395,-0.038,0.964,-0.332,-0.183,-0.122,-1.434,93.333,38276.000,1.000
-12.632,-10.601,-9.807,-6.360,-2.091,-15.127,-2.659,11.569,-0.038,0.964,-0.332,-0.183,-0.183,-1.434,93.333,38277.000,1.000
-10.490,-11.039,-10.943,-7.299,-3.600,-17.202,-4.246,9.645,-0.038,0.965,-0.330,-0.366,-0.244,-1.404,93.333,38278.000,1.000
-10.853,-13.196,-14.358,-10.557,-7.362,-20.346,-8.358,4.642,-0.038,0.965,-0.326,-0.549,-0.336,-1.312,93.333,38279.000,1.000
-12.456,-15.859,-18.077,-15.024,-11.938,-23.661,-13.168,-2.158,-0.037,0.964,-0.325,-0.732,-0.458,-1.160,93.333,38280.000,1.000
-12.760,-17.127,-19.947,-17.991,-14.656,-25.586,-15.130,-6.077,-0.037,0.963,-0.326,-0.824,-0.458,-1.068,93.333,38281.000,1.000
-12.856,-16.935,-20.101,-18.801,-15.103,-25.993,-14.385,-5.319,-0.037,0.963,-0.328,-0.916,-0.519,-1.099,93.333,38282.000,1.000
-13.942,-16.114,-19.564,-18.589,-14.477,-25.447,-13.910,-2.872,-0.040,0.962,-0.327,-0.854,-0.580,-1.099,93.333,38283.000,1.000
-13.585,-13.649,-17.691,-17.362,-12.270,-23.056,-13.378,-0.771,-0.039,0.960,-0.330,-0.854,-0.488,-1.129,93.333,38284.000,1.000
-9.896,-8.380,-13.571,-14.387,-7.500,-17.919,-10.138,1.850,-0.038,0.962,-0.329,-0.824,-0.580,-1.160,93.333,38285.000,1.000
