EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
29.703,8.831,20.043,7.219,0.913,-1.961,-2.509,-0.092,-0.034,0.972,-0.297,1.434,-0.732,-1.160,93.333,13238.000,1.000
29.045,12.295,23.100,10.952,3.194,-0.838,-1.231,3.872,-0.035,0.974,-0.295,1.495,-0.793,-1.190,93.333,13239.000,1.000
28.344,15.197,25.611,13.532,5.242,2.366,-0.562,6.217,-0.033,0.973,-0.294,1.465,-0.763,-1.129,93.333,13240.000,1.000
29.568,15.613,26.396,13.870,6.857,7.199,0.564,6.318,-0.034,0.973,-0.298,1.434,-0.732,-1.129,93.333,13241.000,1.000
26.320,11.358,22.726,9.159,6.083,10.551,0.775,2.992,-0.033,0.975,-0.295,1.373,-0.732,-1.038,93.333,13242.000,1.000
16.876,4.394,15.743,0.892,3.023,10.960,-1.158,-2.520,-0.032,0.974,-0.299,1.404,-0.732,-0.977,93.333,13243.000,1.000
8.888,0.280,11.363,-3.993,2.325,12.596,-1.578,-4.425,-0.033,0.974,-0.295,1.434,-0.519,-0.946,93.333,13244.000,1.000
6.737,0.211,11.603,-3.075,5.817,17.220,2.131,0.039,-0.033,0.973,-0.294,1.434,-0.580,-0.977,93.333,13245.000,1.000
2.850,-1.880,10.605,-3.259,7.004,18.480,4.459,4.418,-0.034,0.974,-0.294,1.404,-0.488,-0.916,93.333,13246.000,1.000
-7.498,-8.743,4.672,-9.447,1.049,12.954,0.412,2.575,-0.034,0.973,-0.294,1.404,-0.641,-0.824,93.333,13247.000,1.000
-13.492,-13.581,-0.138,-15.729,-6.117,7.552,-5.137,-1.669,-0.033,0.972,-0.298,1.343,-0.671,-0.793,93.333,13248.000,1.000
-8.277,-12.507,0.934,-16.336,-8.821,6.748,-7.413,-3.763,-0.035,0.971,-0.298,1.282,-0.580,-0.854,93.333,13249.000,1.000
-0.246,-10.452,3.468,-14.209,-10.233,6.351,-9.138,-5.367,-0.034,0.968,-0.295,1.343,-0.580,-0.854,93.333,13250.000,1.000
6.795,-7.432,6.418,-10.220,-10.419,6.730,-9.455,-4.460,-0.032,0.968,-0.296,1.343,-0.458,-0.885,93.333,13251.000,1.000
16.616,1.361,14.672,-1.034,-4.347,12.639,-3.429,3.034,-0.031,0.966,-0.298,1.648,-0.305,-1.129,93.333,13252.000,1.000
25.324,12.845,27.047,10.849,5.810,20.976,6.242,12.246,-0.032,0.968,-0.300,1.801,-0.275,-1.068,93.333,13253.000,1.000
28.275,20.966,37.975,20.130,13.206,25.469,12.288,15.882,-0.031,0.968,-0.299,1.801,-0.336,-0.946,93.333,13254.000,1.000
28.832,23.462,43.359,23.838,14.320,24.061,11.187,12.289,-0.031,0.967,-0.299,1.740,-0.214,-0.977,93.333,13255.000,1.000
28.487,20.314,41.678,21.164,9.744,17.858,4.365,3.619,-0.032,0.967,-0.296,1.740,-0.122,-1.099,93.333,13256.000,1.000
27.370,16.873,38.476,17.405,5.452,12.393,-1.756,-3.789,-0.031,0.968,-0.297,1.678,-0.153,-1.221,93.333,13257.000,1.000
28.394,18.319,39.786,17.878,6.196,11.899,-2.670,-5.004,-0.031,0.968,-0.297,1.709,-0.122,-1.282,93.333,13258.000,1.000
29.826,20.078,41.317,18.417,7.742,12.032,-2.367,-3.865,-0.032,0.965,-0.300,1.862,0.031,-1.282,93.333,13259.000,1.000
29.377,17.920,38.984,15.616,6.844,10.073,-3.291,-3.550,-0.033,0.963,-0.298,2.045,0.000,-1.282,93.333,13260.000,1.000
