EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.598,24.417,17.863,21.112,18.025,37.711,2.254,22.661,-0.027,0.966,-0.291,0.031,0.732,-0.397,86.667,103041.000,1.000
2.047,25.495,18.845,22.594,19.827,39.253,4.334,24.536,-0.029,0.965,-0.294,0.214,0.488,-0.580,86.667,103042.000,1.000
1.923,23.906,18.556,22.787,19.018,37.017,3.281,23.851,-0.028,0.965,-0.292,0.458,0.366,-0.732,86.667,103043.000,1.000
0.366,20.560,16.688,21.342,16.747,33.590,1.017,21.356,-0.028,0.963,-0.294,0.549,0.153,-0.824,86.667,103044.000,1.000
1.188,20.665,17.906,22.358,18.049,34.935,2.929,21.324,-0.026,0.964,-0.295,0.610,-0.092,-0.854,86.667,103045.000,1.000
5.905,24.267,22.816,26.288,22.656,40.327,8.228,23.861,-0.023,0.966,-0.297,0.610,-0.244,-0.916,86.667,103046.000,1.000
8.158,23.827,23.816,25.538,22.642,40.928,8.323,21.897,-0.023,0.968,-0.298,0.702,-0.275,-0.946,86.667,103047.000,1.000
2.728,15.038,15.349,14.814,13.195,31.796,-1.713,11.165,-0.022,0.969,-0.298,0.824,-0.366,-1.007,86.667,103048.000,1.000
-0.296,8.948,8.091,5.272,5.294,24.285,-10.638,2.811,-0.020,0.972,-0.293,1.007,-0.488,-1.099,86.667,103049.000,1.000
8.252,13.727,11.684,6.605,7.600,26.779,-9.836,4.850,-0.019,0.973,-0.296,1.007,-0.549,-1.068,86.667,103050.000,1.000
17.124,16.818,14.834,7.549,8.182,27.036,-11.048,4.547,-0.021,0.976,-0.292,0.946,-0.641,-1.038,86.667,103051.000,1.000
16.037,9.893,8.705,-0.086,-0.541,18.220,-20.445,-5.052,-0.021,0.978,-0.292,0.793,-0.580,-1.068,86.667,103052.000,1.000
12.873,3.566,2.426,-6.268,-7.505,12.269,-25.765,-11.106,-0.021,0.977,-0.297,0.702,-0.641,-1.007,86.667,103053.000,1.000
14.426,4.726,2.467,-4.786,-6.075,15.385,-21.277,-6.489,-0.021,0.975,-0.293,0.641,-0.732,-0.916,86.667,103054.000,1.000
15.695,7.785,4.018,-1.710,-2.586,19.834,-15.524,0.492,-0.019,0.974,-0.292,0.580,-0.793,-0.885,86.667,103055.000,1.000
