EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
29.517,21.228,19.964,16.354,3.054,0.524,-12.195,9.340,-0.033,0.967,-0.336,0.092,-0.244,-1.068,86.667,92457.000,1.000
27.445,20.424,18.862,15.159,2.665,-0.516,-14.209,7.586,-0.032,0.966,-0.338,-0.092,-0.214,-1.068,86.667,92458.000,1.000
30.935,26.170,23.794,18.913,8.408,4.517,-10.601,10.543,-0.033,0.964,-0.337,-0.336,-0.153,-0.946,86.667,92459.000,1.000
34.813,33.218,29.181,22.870,15.186,10.789,-5.926,14.741,-0.033,0.962,-0.336,-0.610,-0.153,-0.824,86.667,92460.000,1.000
34.084,35.628,29.957,23.219,17.900,13.181,-4.401,16.359,-0.033,0.962,-0.335,-0.732,-0.214,-0.793,86.667,92461.000,1.000
30.066,34.368,27.738,22.272,18.129,13.726,-3.720,16.751,-0.034,0.961,-0.338,-0.763,-0.183,-0.702,86.667,92462.000,1.000
25.312,31.581,24.117,21.259,17.189,14.658,-2.684,16.509,-0.032,0.960,-0.338,-0.763,-0.183,-0.671,86.667,92463.000,1.000
18.018,24.772,16.753,16.510,11.756,12.228,-5.490,12.196,-0.032,0.958,-0.337,-0.854,-0.214,-0.610,86.667,92464.000,1.000
8.141,13.308,5.709,6.969,1.632,4.480,-13.106,3.330,-0.031,0.955,-0.337,-0.854,-0.153,-0.580,86.667,92465.000,1.000
4.111,6.308,-0.029,1.858,-3.551,-0.099,-16.212,-1.077,-0.032,0.957,-0.339,-0.854,-0.183,-0.519,86.667,92466.000,1.000
14.200,13.149,8.243,11.086,5.119,7.883,-6.121,8.213,-0.032,0.958,-0.338,-0.824,-0.183,-0.427,86.667,92467.000,1.000
30.807,26.108,22.125,26.538,18.951,20.923,8.206,23.316,-0.035,0.959,-0.339,-0.793,-0.183,-0.366,86.667,92468.000,1.000
38.262,30.037,26.081,31.467,22.018,23.519,11.026,27.789,-0.038,0.960,-0.339,-0.610,-0.183,-0.427,86.667,92469.000,1.000
36.194,25.990,21.182,26.368,15.014,16.077,3.492,21.097,-0.037,0.962,-0.337,-0.580,-0.336,-0.366,86.667,92470.000,1.000
34.828,24.760,18.829,23.062,9.323,10.132,-2.842,14.755,-0.034,0.961,-0.337,-0.702,-0.366,-0.305,86.667,92471.000,1.000
34.840,26.359,19.457,22.376,6.589,8.019,-5.864,11.884,-0.034,0.961,-0.339,-0.824,-0.458,-0.336,86.667,92472.000,1.000
31.741,25.308,17.055,18.634,2.339,5.293,-9.007,8.786,-0.032,0.960,-0.338,-0.824,-0.458,-0.275,86.667,92473.000,1.000
28.656,24.332,14.420,14.510,-1.108,3.171,-10.159,6.694,-0.031,0.960,-0.338,-0.793,-0.397,-0.244,86.667,92474.000,1.000
29.322,26.667,16.110,14.563,-0.401,4.234,-8.161,7.394,-0.029,0.958,-0.336,-0.793,-0.305,-0.244,86.667,92475.000,1.000
29.133,27.636,17.753,15.270,0.915,5.697,-7.677,7.148,-0.030,0.956,-0.339,-0.732,-0.244,-0.183,86.667,92476.000,1.000
23.481,23.142,13.654,11.644,-1.373,4.214,-11.506,3.073,-0.029,0.954,-0.339,-0.671,-0.275,-0.214,86.667,92477.000,1.000
14.539,15.020,5.010,4.429,-6.769,-0.438,-17.959,-3.029,-0.027,0.953,-0.335,-0.671,-0.244,-0.122,86.667,92478.000,1.000
7.198,8.013,-2.086,-1.166,-11.170,-4.836,-22.602,-6.837,-0.024,0.955,-0.337,-0.641,-0.153,-0.092,86.667,92479.000,1.000
5.483,7.023,-2.433,-0.092,-9.959,-3.304,-20.264,-4.227,-0.022,0.958,-0.339,-0.488,-0.031,-0.061,86.667,92480.000,1.000
7.839,10.981,1.983,5.206,-4.755,3.256,-13.173,2.141,-0.024,0.959,-0.338,-0.488,0.092,-0.031,86.667,92481.000,1.000
7.112,11.761,3.084,5.610,-3.725,5.624,-11.305,2.866,-0.023,0.961,-0.337,-0.397,0.214,-0.031,86.667,92482.000,1.000
1.110,6.390,-1.807,-1.121,-9.204,0.602,-17.268,-4.528,-0.027,0.962,-0.334,-0.366,0.214,-0.122,86.667,92483.000,1.000
-3.986,1.749,-6.252,-6.350,-13.398,-3.735,-21.816,-10.755,-0.029,0.961,-0.334,-0.580,0.153,-0.092,86.667,92484.000,1.000
